model,example,source_setup,p,n0,N,T,replicate,selected_sources,num_selected_sources
linear,exm1,exm1_6source_shift,5,250,5000,500,81,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,82,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,83,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,84,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,85,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,86,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,87,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,88,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,89,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,90,,0
linear,exm1,exm1_6source_shift,5,250,5000,500,91,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,92,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,93,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,94,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,95,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,96,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,97,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,98,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,99,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,100,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,101,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,102,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,103,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,104,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,105,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,106,"m1s1,m2s2,m3s3,m4s4",4
linear,exm1,exm1_6source_shift,5,250,5000,500,107,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,108,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,109,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,110,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,111,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,112,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,113,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,114,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,115,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,116,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,117,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,118,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,119,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,120,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,121,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,122,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,123,"m1s1,m2s2,m3s3",3
linear,exm1,exm1_6source_shift,5,250,5000,500,124,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,125,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,126,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,127,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,128,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,129,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,130,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,131,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,132,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,133,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,134,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,135,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,136,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,137,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,138,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,139,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,140,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,141,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,142,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,143,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,144,m1s1,1
linear,exm1,exm1_6source_shift,5,250,5000,500,145,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,146,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,147,"m1s1,m2s2",2
linear,exm1,exm1_6source_shift,5,250,5000,500,148,m2s2,1
linear,exm1,exm1_6source_shift,5,250,5000,500,149,"m1s1,m2s2",2
