model,example,source_setup,N,T,method,p,n0,SE,SSE,ARE,BIAS,MSE,MRR,CP,SE_SSE_ratio,TIME
linear,exm1,exm1_6source_shift,5000,500,SUPERVISED,5,250,0.6423080490155405,0.6079144428285383,1.0,0.02812001066594147,0.4395850610042902,0.0,0.9363333333333334,1.0768469224830117,8.148383401567116e-05
linear,exm1,exm1_6source_shift,5000,500,DRESS,5,250,1.0374749950425304,0.3685154082489251,0.4660845907734615,0.038515228531235936,1.1970951641798806,-1.7232389595882955,0.5523333333333333,2.825865251114634,0.0019296580819936934
linear,exm1,exm1_6source_shift,5000,500,PSS,5,250,1.0308716392816282,0.36823255763869406,0.4701175694733209,0.03842043511784465,1.1811999020905661,-1.6870792637765233,0.5543333333333332,2.8103286827073553,0.0018594168319832534
linear,exm1,exm1_6source_shift,5000,500,PROPOSED,5,250,0.43643251311946973,0.45423859073839695,2.143203700416669,0.04189566749161063,0.1962646861744238,0.553522847828288,0.9483230663928816,0.9918261470815154,0.7305202588340035
